Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Acropolis,1201027841,235038,Plataforma de entrega,Efectivo,Entregado,2024-06-12 14:46,2024-06-12 14:46,,2024-06-12 14:49,2024-06-12 15:08,2024-06-12 15:40,,,,"820,00","0,00","0,00","0,00","0,00","131,20","0,00","0,00",,,"685,85","0,00","0,00","685,85","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Entera, 1 Alto  12oz, 1 Si], 1 Dragon Drink [1 Alto  12oz], 2 Chocolate Chip Cookies"
Starbucks Acropolis,1201033479,235038,Plataforma de entrega,Online,Entregado,2024-06-12 15:28,2024-06-12 15:29,,2024-06-12 15:31,2024-06-12 15:35,2024-06-12 15:51,,,,"365,00","0,00","0,00","0,00","0,00","58,40","0,00","0,00",,,"305,29","0,00","0,00","305,29","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Grande 16oz, 1 Deslactosada]"
Starbucks Acropolis,1201059569,235038,Plataforma de entrega,Online,Entregado,2024-06-12 15:28,2024-06-12 15:29,,2024-06-12 15:31,2024-06-12 15:34,2024-06-12 15:40,,,,"700,00","0,00","0,00","0,00","0,00","112,00","0,00","0,00",,,"585,48","0,00","0,00","585,48","617,50","0,00","617,50","0,00","0,00","1 Vanilla Cream Frappuccino® [1 Venti 20oz, 1 Entera], 1 Mango Dragonfruit [1 Venti 20oz]"
Starbucks Acropolis,1201060037,235038,Plataforma de entrega,Online,Entregado,2024-06-12 15:32,2024-06-12 15:32,,2024-06-12 15:38,2024-06-12 15:39,2024-06-12 15:45,,,,"705,00","0,00","0,00","0,00","0,00","112,80","0,00","0,00",,,"589,66","0,00","0,00","589,66","17,50","0,00","17,50","0,00","0,00","1 Chocolate Chip Cookies, 1 Banana Nut Loaf, 1 Caramel Ribbon Crunch Frappuccino [1 Alto (12oz), 1 Almendras, 1 Si]"
Starbucks Acropolis,1201116270,235038,Plataforma de entrega,Online,Entregado,2024-06-12 16:18,2024-06-12 16:19,,2024-06-12 16:21,2024-06-12 16:27,2024-06-12 16:29,,,,"870,00","0,00","0,00","0,00","0,00","139,20","0,00","0,00",,,"727,67","0,00","0,00","727,67","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Alto  12oz, 1 Semidescremada, 1 Si, 1 Caliente], 1 Caramel Frappuccino [1 Alto  12oz, 1 Semidescremada], 1 Coffee Frappuccino® [1 Semidescremada, 1 Alto  12oz]"
Starbucks Acropolis,1201117582,235038,Plataforma de entrega,Online,Entregado,2024-06-12 16:32,2024-06-12 16:32,,2024-06-12 16:34,2024-06-12 16:37,2024-06-12 16:45,,,,"620,00","0,00","0,00","0,00","0,00","99,20","0,00","0,00",,,"518,57","0,00","0,00","518,57","0,00","0,00","0,00","0,00","0,00","1 Latte Macchiato [1 Caliente, 1 Entera, 1 Sin Azúcar, 1 Alto  12oz], 1 Matcha Latte [1 Semidescremada, 1 Sin Azúcar, 1 Venti 20oz, 1 Fria]"
Starbucks Acropolis,1201118497,235038,Plataforma de entrega,Online,Entregado,2024-06-12 16:41,2024-06-12 16:41,,2024-06-12 16:43,2024-06-12 16:48,2024-06-12 16:57,,,,"830,00","0,00","0,00","0,00","0,00","132,80","0,00","0,00",,,"694,21","0,00","0,00","694,21","0,00","0,00","0,00","0,00","0,00","1 Java Chip Frappuccino® [1 Grande 16oz, 1 Entera], 1 Panini de Jamón y Queso Suizo"
Starbucks Acropolis,1201120188,235038,Plataforma de entrega,Online,Entregado,2024-06-12 16:58,2024-06-12 16:59,,2024-06-12 17:04,2024-06-12 17:06,2024-06-12 17:16,,,,"395,00","0,00","0,00","0,00","0,00","63,20","0,00","0,00",,,"330,38","0,00","0,00","330,38","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Venti 20oz, 1 Entera]"
Starbucks Acropolis,1201135995,235038,Plataforma de entrega,Online,Entregado,2024-06-12 17:25,2024-06-12 17:25,,2024-06-12 17:27,2024-06-12 17:41,2024-06-12 17:46,,,,"605,00","0,00","0,00","0,00","0,00","96,80","0,00","0,00",,,"506,02","0,00","0,00","506,02","0,00","0,00","0,00","0,00","0,00","1 Americano [1 Entera, 1 Si, 1 Alto  12oz, 1 Caliente, 1 Splenda], 1 Caramel Macchiato [1 Entera, 1 Splenda, 1 Venti 20oz, 1 Caliente]"
Starbucks Acropolis,1201137021,235038,Plataforma de entrega,Online,Entregado,2024-06-12 17:35,2024-06-12 17:35,,2024-06-12 17:37,2024-06-12 17:41,2024-06-12 17:57,,,,"345,00","0,00","0,00","0,00","0,00","55,20","0,00","0,00",,,"288,56","0,00","0,00","288,56","0,00","0,00","0,00","0,00","0,00","1 Matcha Latte [1 Caliente, 1 Deslactosada, 1 Stevia, 1 Grande 16oz]"
