Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Galería 360,1190138771,183569,Plataforma de entrega,Online,Entregado,2024-06-01 18:20,2024-06-01 18:21,,2024-06-01 18:28,2024-06-01 18:30,2024-06-01 18:44,,,,"660,00","0,00","0,00","0,00","0,00","105,60","0,00","0,00",,,"552,02","0,00","0,00","552,02","260,00","0,00","260,00","0,00","0,00","1 Pink Drink [1 Venti 20oz], 1 Mango Dragonfruit Lemonade [1 Venti 20oz]"
Starbucks Galería 360,1190157677,183569,Plataforma de entrega,Online,Entregado,2024-06-01 18:49,2024-06-01 18:49,,2024-06-01 18:49,2024-06-01 18:59,2024-06-01 19:10,,,,"455,00","0,00","0,00","0,00","0,00","72,80","0,00","0,00",,,"380,56","0,00","0,00","380,56","17,50","0,00","17,50","0,00","0,00","1 Caramel Macchiato [1 Entera, 1 Caramel, 1 Caramelo, 1 Splenda, 1 Venti 20oz, 1 Fria]"
Starbucks Galería 360,1190218300,183569,Plataforma de entrega,Online,Entregado,2024-06-01 19:50,2024-06-01 19:50,,2024-06-01 19:50,2024-06-01 19:59,2024-06-01 20:06,,,,"275,00","0,00","0,00","0,00","0,00","44,00","0,00","0,00",,,"230,01","0,00","0,00","230,01","0,00","0,00","0,00","0,00","0,00","1 Sandwich de Tocineta, Queso Gouda & Huevo"
Starbucks Galería 360,1190291172,183569,Plataforma de entrega,Online,Entregado,2024-06-01 19:57,2024-06-01 19:57,,2024-06-01 19:57,2024-06-01 20:15,2024-06-01 20:23,,,,"1.320,00","0,00","0,00","0,00","0,00","211,20","0,00","0,00",,,"1.104,05","0,00","0,00","1.104,05","17,50","0,00","17,50","0,00","0,00","1 Double Chocolate Chip Frappuccino® [1 Grande 16oz, 1 Entera], 1 Vanilla Cream Frappuccino® [1 Grande 16oz, 1 Entera], 2 Strawberry Acai Lemonade [1 Grande 16oz]"
Starbucks Galería 360,1190488324,183569,Plataforma de entrega,Online,Entregado,2024-06-01 21:45,2024-06-01 21:45,,2024-06-01 21:51,2024-06-01 21:59,2024-06-01 22:21,,,,"395,00","0,00","0,00","0,00","0,00","63,20","0,00","0,00",,,"330,38","0,00","0,00","330,38","0,00","0,00","0,00","0,00","0,00","1 Strawberries & Cream Frappuccino® [1 Venti 20oz, 1 Si, 1 Entera]"
Starbucks Galería 360,1190724945,183569,Plataforma de entrega,Online,Entregado,2024-06-02 07:46,2024-06-02 07:46,,2024-06-02 07:48,2024-06-02 07:53,2024-06-02 08:05,,,,"365,00","0,00","0,00","0,00","0,00","58,40","0,00","0,00",,,"305,29","0,00","0,00","305,29","0,00","0,00","0,00","0,00","0,00","1 Double Chocolate Chip Frappuccino® [1 Grande 16oz, 1 No, 1 Semidescremada]"
Starbucks Galería 360,1190725847,183569,Plataforma de entrega,Online,Entregado,2024-06-02 08:56,2024-06-02 08:57,,2024-06-02 09:09,2024-06-02 09:10,2024-06-02 09:22,,,,"550,00","0,00","0,00","0,00","0,00","88,00","0,00","0,00",,,"460,02","0,00","0,00","460,02","0,00","0,00","0,00","0,00","0,00","1 Pink Drink [1 Grande 16oz], 1 Croissant de Jamón y Queso"
Starbucks Galería 360,1190727819,183569,Plataforma de entrega,Online,Entregado,2024-06-02 09:40,2024-06-02 09:40,,2024-06-02 09:44,2024-06-02 09:48,2024-06-02 09:59,,,,"735,00","0,00","0,00","0,00","0,00","117,60","0,00","0,00",,,"614,75","0,00","0,00","614,75","17,50","0,00","17,50","0,00","0,00","1 Matcha Créme Frappucino [1 Venti 20oz, 1 Si, 1 Entera], 1 Banana Nut Loaf, 1 Croissant de Mantequilla"
Starbucks Galería 360,1190728573,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-02 09:54,2024-06-02 09:54,,2024-06-02 09:57,2024-06-02 10:02,2024-06-02 10:19,,,,"965,00","0,00","0,00","0,00","0,00","154,40","0,00","0,00",,,"807,13","0,00","0,00","807,13","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Grande 16oz, 1 Entera], 1 Dragon Drink [1 Grande 16oz], 1 Strawberry Acai Lemonade [1 Grande 16oz]"
Starbucks Galería 360,1190754567,183569,Plataforma de entrega,Online,Entregado,2024-06-02 07:57,2024-06-02 07:57,,2024-06-02 07:58,2024-06-02 08:02,2024-06-02 08:10,,,,"550,00","0,00","0,00","0,00","0,00","88,00","0,00","0,00",,,"460,02","0,00","0,00","460,02","0,00","0,00","0,00","0,00","0,00","2 Sandwich de Tocineta, Queso Gouda & Huevo"
